sequence,track,clip,asset,start_frame,end_frame,source_in_frame,source_out_frame,start_ticks,end_ticks,source_in_ticks,source_out_ticks
shorts - audio setup reference,V1,112,260908.mp4,23255,23299,75011,75055,196904539099915,197277095527367,635132504081863,635505060509315
shorts - audio setup reference,V1,113,260908.mp4,23299,23431,75074,75206,197277095527367,198394764809723,635665937148442,636783606430798
shorts - audio setup reference,V1,114,260908.mp4,23431,23849,75227,75645,198394764809723,201934050870517,636961417452991,640500703513785
shorts - audio setup reference,V1,115,260908.mp4,23849,23918,75674,75743,201934050870517,202518287086294,640746252068242,641330488284019
shorts - audio setup reference,V1,116,260908.mp4,23918,23950,75775,75807,202518287086294,202789237215350,641601438413075,641872388542131
shorts - audio setup reference,V1,117,260908.mp4,23950,24380,75858,76288,202789237215350,206430129574540,642304215310314,645945107669504
shorts - audio setup reference,V1,118,260908.mp4,24380,24542,76318,76480,206430129574540,207801814602886,646199123415494,647570808443840
shorts - audio setup reference,V1,119,260908.mp4,24542,24606,76532,76596,207801814602886,208343714860998,648011102403556,648553002661668
shorts - audio setup reference,V1,120,260908.mp4,24606,24754,76646,76794,208343714860998,209596859207882,648976362238318,650229506585202
shorts - audio setup reference,V1,121,260908.mp4,24754,24903,76814,76963,209596859207882,210858470746299,650398850415862,651660461954279
shorts - audio setup reference,V1,122,260908.mp4,24903,25595,76995,77687,210858470746299,216717767287135,651931412083335,657790708624171
shorts - audio setup reference,V1,123,260908.mp4,25595,26040,77701,78146,216717767287135,220485667519320,657909249305633,661677149537818
shorts - audio setup reference,V1,124,260908.mp4,26040,26085,78160,78205,220485667519320,220866691138305,661795690219280,662176713838265
shorts - audio setup reference,V1,125,260908.mp4,26085,26236,78234,78385,220866691138305,222145237059788,662422262392722,663700808314205
shorts - audio setup reference,V1,126,260908.mp4,26236,26326,78402,78492,222145237059788,222907284297758,663844750570266,664606797808236
shorts - audio setup reference,V1,127,260908.mp4,26326,26478,78513,78665,222907284297758,224194297410774,664784608830429,666071621943445
shorts - audio setup reference,V1,128,260908.mp4,26478,26512,78666,78700,224194297410774,224482181922896,666080089134978,666367973647100
shorts - audio setup reference,V1,129,260908.mp4,26512,26669,78744,78901,224482181922896,225811530993577,666740530074552,668069879145233
shorts - audio setup reference,V1,130,260908.mp4,26669,26704,78927,78962,225811530993577,226107882697232,668290026125091,668586377828746
shorts - audio setup reference,V1,131,260908.mp4,26704,26736,78980,79012,226107882697232,226378832826288,668738787276340,669009737405396
shorts - audio setup reference,V1,132,260908.mp4,26736,26771,79045,79080,226378832826288,226675184529943,669289154725985,669585506429640
shorts - audio setup reference,V1,133,260908.mp4,26771,26851,81691,81771,226675184529943,227352559852583,691693343522303,692370718844943
shorts - audio setup reference,V1,134,260908.mp4,26851,27000,81921,82070,227352559852583,228614171391000,693640797574893,694902409113310
shorts - audio setup reference,V2,1,Adjustment Layer,0,3660,108000,111660,0,30989921010780,914456685564000,945446606574780
shorts - audio setup reference,V2,2,Adjustment Layer,3660,7165,111660,115165,30989921010780,60667427333945,945446606574780,975124112897945
shorts - audio setup reference,V2,3,Adjustment Layer,7165,13890,115165,121890,60667427333945,117609290393370,975124112897945,1032065975957370
shorts - audio setup reference,V2,4,Adjustment Layer,13890,17294,121890,125294,117609290393370,146431610371702,1032065975957370,1060888295935702
shorts - audio setup reference,V2,5,Adjustment Layer,17294,27000,125294,135000,146431610371702,228614171391000,1060888295935702,1143070856955000
shorts - audio setup reference,V3,1,Graphic,445,449,294594,294596,3767900232185,3801768998317,2494383822472602,2494400756855668
shorts - audio setup reference,V3,2,Graphic,449,460,294594,294603,3801768998317,3894908105180,2494383822472602,2494460027196399
shorts - audio setup reference,V3,3,Graphic,3656,3660,294594,294596,30956052244648,30989921010780,2494383822472602,2494400756855668
shorts - audio setup reference,V3,4,Graphic,3660,3671,294594,294603,30989921010780,31083060117643,2494383822472602,2494460027196399
shorts - audio setup reference,V3,5,Graphic,7161,7165,294594,294596,60633558567813,60667427333945,2494383822472602,2494400756855668
shorts - audio setup reference,V3,6,Graphic,7165,7176,294594,294603,60667427333945,60760566440808,2494383822472602,2494460027196399
shorts - audio setup reference,V3,7,Graphic,13886,13890,294594,294596,117575421627238,117609290393370,2494383822472602,2494400756855668
shorts - audio setup reference,V3,8,Graphic,13890,13901,294594,294603,117609290393370,117702429500233,2494383822472602,2494460027196399
shorts - audio setup reference,V3,9,Graphic,17290,17294,294594,294596,146397741605570,146431610371702,2494383822472602,2494400756855668
shorts - audio setup reference,V3,10,Graphic,17294,17305,294594,294603,146431610371702,146524749478565,2494383822472602,2494460027196399
shorts - audio setup reference,V3,11,Graphic,21347,21351,294594,294596,180749137654951,180783006421083,2494383822472602,2494400756855668
shorts - audio setup reference,V3,12,Graphic,21351,21362,294594,294603,180783006421083,180876145527946,2494383822472602,2494460027196399
shorts - audio setup reference,V4,1,Graphic,445,449,294594,294596,3767900232185,3801768998317,2494383822472602,2494400756855668
shorts - audio setup reference,V4,2,Graphic,449,460,294594,294603,3801768998317,3894908105180,2494383822472602,2494460027196399
shorts - audio setup reference,V4,3,Graphic,3656,3660,294594,294596,30956052244648,30989921010780,2494383822472602,2494400756855668
shorts - audio setup reference,V4,4,Graphic,3660,3671,294594,294603,30989921010780,31083060117643,2494383822472602,2494460027196399
shorts - audio setup reference,V4,5,Graphic,7161,7165,294594,294596,60633558567813,60667427333945,2494383822472602,2494400756855668
shorts - audio setup reference,V4,6,Graphic,7165,7176,294594,294603,60667427333945,60760566440808,2494383822472602,2494460027196399
shorts - audio setup reference,V4,7,Graphic,13886,13890,294594,294596,117575421627238,117609290393370,2494383822472602,2494400756855668
shorts - audio setup reference,V4,8,Graphic,13890,13901,294594,294603,117609290393370,117702429500233,2494383822472602,2494460027196399
shorts - audio setup reference,V4,9,Graphic,17290,17294,294594,294596,146397741605570,146431610371702,2494383822472602,2494400756855668
shorts - audio setup reference,V4,10,Graphic,17294,17305,294594,294603,146431610371702,146524749478565,2494383822472602,2494460027196399
shorts - audio setup reference,V4,11,Graphic,21347,21351,294594,294596,180749137654951,180783006421083,2494383822472602,2494400756855668
shorts - audio setup reference,V4,12,Graphic,21351,21362,294594,294603,180783006421083,180876145527946,2494383822472602,2494460027196399
shorts - audio setup reference,A1,1,260908.mp4,0,80,72340,72420,0,677375322640,612516635497220,613194010819860
shorts - audio setup reference,A1,2,260908.mp4,80,449,72435,72804,677375322640,3801768998317,613321018692855,616445412368532
shorts - audio setup reference,A1,3,260908.mp4,449,952,61374,61877,3801768998317,8060766339416,519665413146342,523924410487441
shorts - audio setup reference,A1,4,260908.mp4,952,1044,61889,61981,8060766339416,8839747960452,524026016785837,524804998406873
shorts - audio setup reference,A1,5,260908.mp4,1044,1080,61993,62029,8839747960452,9144566855640,524906604705269,525211423600457
shorts - audio setup reference,A1,6,260908.mp4,1080,1101,62094,62115,9144566855640,9322377877833,525761791050102,525939602072295
shorts - audio setup reference,A1,7,260908.mp4,1101,1133,62127,62159,9322377877833,9593328006889,526041208370691,526312158499747
shorts - audio setup reference,A1,8,260908.mp4,1133,1335,62176,62378,9593328006889,11303700696555,526456100755808,528166473445474
shorts - audio setup reference,A1,9,260908.mp4,1335,1362,62392,62419,11303700696555,11532314867946,528285014126936,528513628298327
shorts - audio setup reference,A1,10,260908.mp4,1362,1522,62440,62600,11532314867946,12887065513226,528691439320520,530046189965800
shorts - audio setup reference,A1,11,260908.mp4,1522,2113,62618,63209,12887065513226,17891175709229,530198599413394,535202709609397
shorts - audio setup reference,A1,12,260908.mp4,2113,2522,63221,63630,17891175709229,21354257046226,535304315907793,538767397244790
shorts - audio setup reference,A1,13,260908.mp4,2522,2626,63654,63758,21354257046226,22234844965658,538970609841582,539851197761014
shorts - audio setup reference,A1,14,260908.mp4,2626,2649,63793,63816,22234844965658,22429590370917,540147549464669,540342294869928
shorts - audio setup reference,A1,15,260908.mp4,2649,2679,63832,63862,22429590370917,22683606116907,540477769934456,540731785680446
shorts - audio setup reference,A1,16,260908.mp4,2679,2938,63875,64134,22683606116907,24876608723954,540841859170375,543034861777422
shorts - audio setup reference,A1,17,260908.mp4,2938,3116,64174,64352,24876608723954,26383768816828,543373549438742,544880709531616
shorts - audio setup reference,A1,18,260908.mp4,3116,3202,64369,64455,26383768816828,27111947288666,545024651787677,545752830259515
shorts - audio setup reference,A1,19,260908.mp4,3202,3660,64468,64926,27111947288666,30989921010780,545862903749444,549740877471558
shorts - audio setup reference,A1,20,260908.mp4,3660,3690,29040,29070,30989921010780,31243936756770,245887242118320,246141257864310
shorts - audio setup reference,A1,21,260908.mp4,3690,4063,29102,29475,31243936756770,34402199198579,246412207993366,249570470435175
shorts - audio setup reference,A1,22,260908.mp4,4063,4154,29507,29598,34402199198579,35172713628082,249841420564231,250611934993734
shorts - audio setup reference,A1,23,260908.mp4,4154,4554,29611,30011,35172713628082,38559590241282,250722008483663,254108885096863
shorts - audio setup reference,A1,24,260908.mp4,4554,4774,30031,30251,38559590241282,40422372378542,254278228927523,256141011064783
shorts - audio setup reference,A1,25,260908.mp4,4774,4839,30278,30343,40422372378542,40972739828187,256369625236174,256919992685819
shorts - audio setup reference,A1,26,260908.mp4,4839,4946,30359,30466,40972739828187,41878729322218,257055467750347,257961457244378
shorts - audio setup reference,A1,27,260908.mp4,4946,5529,30486,31069,41878729322218,46815101985957,258130801075038,263067173738777
shorts - audio setup reference,A1,28,260908.mp4,5529,5690,31082,31243,46815101985957,48178319822770,263177247228706,264540465065519
shorts - audio setup reference,A1,29,260908.mp4,5690,5761,31293,31364,48178319822770,48779490421613,264963824642169,265564995241012
shorts - audio setup reference,A1,30,260908.mp4,5761,6165,31406,31810,48779490421613,52200235800945,265920617285398,269341362664730
shorts - audio setup reference,A1,31,260908.mp4,6165,6268,31840,31943,52200235800945,53072356528844,269595378410720,270467499138619
shorts - audio setup reference,A1,32,260908.mp4,6268,6563,31955,32250,53072356528844,55570178031079,270569105437015,273066926939250
shorts - audio setup reference,A1,33,260908.mp4,6563,6730,32264,32431,55570178031079,56984199017090,273185467620712,274599488606723
shorts - audio setup reference,A1,34,260908.mp4,6730,7067,32453,32790,56984199017090,59837642563711,274785766820449,277639210367070
shorts - audio setup reference,A1,35,260908.mp4,7067,7165,32812,32910,59837642563711,60667427333945,277825488580796,278655273351030
shorts - audio setup reference,A1,36,260908.mp4,7165,7250,36330,36415,60667427333945,61387138614250,307613068393890,308332779674195
shorts - audio setup reference,A1,37,260908.mp4,7250,7554,36446,36750,61387138614250,63961164840282,308595262611718,311169288837750
shorts - audio setup reference,A1,38,260908.mp4,7554,7788,36789,37023,63961164840282,65942487659004,311499509307537,313480832126259
shorts - audio setup reference,A1,39,260908.mp4,7788,7937,37055,37204,65942487659004,67204099197421,313751782255315,315013393793732
shorts - audio setup reference,A1,40,260908.mp4,7937,8184,37216,37463,67204099197421,69295495506072,315115000092128,317206396400779
shorts - audio setup reference,A1,41,260908.mp4,8184,8246,37481,37543,69295495506072,69820461381118,317358805848373,317883771723419
shorts - audio setup reference,A1,42,260908.mp4,8246,8314,37569,37637,69820461381118,70396230405362,318103918703277,318679687727521
shorts - audio setup reference,A1,43,260908.mp4,8314,8389,37650,37725,70396230405362,71031269770337,318789761217450,319424800582425
shorts - audio setup reference,A1,44,260908.mp4,8389,8467,37777,37855,71031269770337,71691710709911,319865094542141,320525535481715
shorts - audio setup reference,A1,45,260908.mp4,8467,8672,37880,38085,71691710709911,73427484974176,320737215270040,322472989534305
shorts - audio setup reference,A1,46,260908.mp4,8672,8888,38107,38323,73427484974176,75256398345304,322659267748031,324488181119159
shorts - audio setup reference,A1,47,260908.mp4,8888,9088,38363,38563,75256398345304,76949836651904,324826868780479,326520307087079
shorts - audio setup reference,A1,48,260908.mp4,9088,9110,38588,38610,76949836651904,77136114865630,326731986875404,326918265089130
shorts - audio setup reference,A1,49,260908.mp4,9110,9381,38632,38903,77136114865630,79430723771073,327104543302856,329399152208299
shorts - audio setup reference,A1,50,260908.mp4,9381,9794,38944,39357,79430723771073,82927673874202,329746307061152,333243257164281
shorts - audio setup reference,A1,51,260908.mp4,9794,10450,39372,40028,82927673874202,88482151519850,333370265037276,338924742682924
shorts - audio setup reference,A1,52,260908.mp4,10450,10689,40040,40279,88482151519850,90505810296237,339026348981320,341050007757707
shorts - audio setup reference,A1,53,260908.mp4,10689,10802,40295,40408,90505810296237,91462602939466,341185482822235,342142275465464
shorts - audio setup reference,A1,54,260908.mp4,10802,10845,40420,40463,91462602939466,91826692175385,342243881763860,342607970999779
shorts - audio setup reference,A1,55,260908.mp4,10845,11112,40490,40757,91826692175385,94087432314696,342836585171170,345097325310481
shorts - audio setup reference,A1,56,260908.mp4,11112,11196,40812,40896,94087432314696,94798676403468,345563020844796,346274264933568
shorts - audio setup reference,A1,57,260908.mp4,11196,11366,40919,41089,94798676403468,96238098964078,346469010338827,347908432899437
shorts - audio setup reference,A1,58,260908.mp4,11366,11417,41102,41153,96238098964078,96669925732261,348018506389366,348450333157549
shorts - audio setup reference,A1,59,260908.mp4,11417,11662,41186,41431,96669925732261,98744387657846,348729750478138,350804212403723
shorts - audio setup reference,A1,60,260908.mp4,11662,12235,41454,42027,98744387657846,103596088406255,350998957808982,355850658557391
shorts - audio setup reference,A1,61,260908.mp4,12235,12845,42042,42652,103596088406255,108761075241385,355977666430386,361142653265516
shorts - audio setup reference,A1,62,260908.mp4,12845,13249,42686,43090,108761075241385,112181820620717,361430537777638,364851283156970
shorts - audio setup reference,A1,63,260908.mp4,13249,13357,43104,43212,112181820620717,113096277306281,364969823838432,365884280523996
shorts - audio setup reference,A1,64,260908.mp4,13357,13628,43266,43537,113096277306281,115390886211724,366341508866778,368636117772221
shorts - audio setup reference,A1,65,260908.mp4,13628,13890,43568,43830,115390886211724,117609290393370,368898600709744,371117004891390
shorts - audio setup reference,A1,66,260908.mp4,13890,13960,18510,18580,117609290393370,118201993800680,156727715275830,157320418683140
shorts - audio setup reference,A1,67,260908.mp4,13960,14002,18594,18636,118201993800680,118557615845066,157438959364602,157794581408988
shorts - audio setup reference,A1,68,260908.mp4,14002,14078,18666,18742,118557615845066,119201122401574,158048597154978,158692103711486
shorts - audio setup reference,A1,69,260908.mp4,14078,14140,18791,18853,119201122401574,119726088276620,159106996096603,159631961971649
shorts - audio setup reference,A1,70,260908.mp4,14140,14347,18880,19087,119726088276620,121478796923951,159860576143040,161613284790371
shorts - audio setup reference,A1,71,260908.mp4,14347,14439,19108,19200,121478796923951,122257778544987,161791095812564,162570077433600
shorts - audio setup reference,A1,72,260908.mp4,14439,14520,19226,19307,122257778544987,122943621059160,162790224413458,163476066927631
shorts - audio setup reference,A1,73,260908.mp4,14520,14834,19363,19677,122943621059160,125602319200522,163950229653479,166608927794841
shorts - audio setup reference,A1,74,260908.mp4,14834,14987,19705,19858,125602319200522,126897799505071,166846009157765,168141489462314
shorts - audio setup reference,A1,75,260908.mp4,14987,15193,19876,20082,126897799505071,128642040960869,168293898909908,170038140365706
shorts - audio setup reference,A1,76,260908.mp4,15193,16326,20120,21253,128642040960869,138235368967758,170359893643960,179953221650849
shorts - audio setup reference,A1,77,260908.mp4,16326,16860,21265,21799,138235368967758,142756849246380,180054827949245,184576308227867
shorts - audio setup reference,A1,78,260908.mp4,16860,16969,21828,21937,142756849246380,143679773123477,184821856782324,185744780659421
shorts - audio setup reference,A1,79,260908.mp4,16969,17029,21952,22012,143679773123477,144187804615457,185871788532416,186379820024396
shorts - audio setup reference,A1,80,260908.mp4,17029,17294,22025,22290,144187804615457,146431610371702,186489893514325,188733699270570
shorts - audio setup reference,A1,81,260908.mp4,17294,17387,67680,67773,146431610371702,147219059184271,573059522953440,573846971766009
shorts - audio setup reference,A1,82,260908.mp4,17387,17548,67809,67970,147219059184271,148582277021084,574151790661197,575515008498010
shorts - audio setup reference,A1,83,260908.mp4,17548,17771,67999,68222,148582277021084,150470460732943,575760557052467,577648740764326
shorts - audio setup reference,A1,84,260908.mp4,17771,18017,68270,68516,150470460732943,152553389850061,578055165957910,580138095075028
shorts - audio setup reference,A1,85,260908.mp4,18017,18449,68542,68974,152553389850061,156211216592317,580358242054886,584016068797142
shorts - audio setup reference,A1,86,260908.mp4,18449,18792,69012,69355,156211216592317,159115463288136,584337822075396,587242068771215
shorts - audio setup reference,A1,87,260908.mp4,18792,18985,69394,69587,159115463288136,160749631254005,587572289241002,589206457206871
shorts - audio setup reference,A1,88,260908.mp4,18985,19229,69617,69861,160749631254005,162815625988057,589460472952861,591526467686913
shorts - audio setup reference,A1,89,260908.mp4,19229,19898,69904,70573,162815625988057,168480177123634,591890556922832,597555108058409
shorts - audio setup reference,A1,90,260908.mp4,19898,19976,70586,70664,168480177123634,169140618063208,597665181548338,598325622487912
shorts - audio setup reference,A1,91,260908.mp4,19976,20315,70678,71017,169140618063208,172010995992895,598444163169374,601314541099061
shorts - audio setup reference,A1,92,260908.mp4,20315,20396,71062,71143,172010995992895,172696838507068,601695564718046,602381407232219
shorts - audio setup reference,A1,93,260908.mp4,20396,20457,71156,71217,172696838507068,173213337190581,602491480722148,603007979405661
shorts - audio setup reference,A1,94,260908.mp4,20457,20487,71240,71270,173213337190581,173467352936571,603202724810920,603456740556910
shorts - audio setup reference,A1,95,260908.mp4,20487,20793,71337,71643,173467352936571,176058313545669,604024042389621,606615002998719
shorts - audio setup reference,A1,96,260908.mp4,20793,20928,71684,71819,176058313545669,177201384402624,606962157851572,608105228708527
shorts - audio setup reference,A1,97,260908.mp4,20928,21103,71831,72006,177201384402624,178683142920899,608206835006923,609688593525198
shorts - audio setup reference,A1,98,260908.mp4,21103,21146,72040,72083,178683142920899,179047232156818,609976478037320,610340567273239
shorts - audio setup reference,A1,99,260908.mp4,21146,21290,72104,72248,179047232156818,180266507737570,610518378295432,611737653876184
shorts - audio setup reference,A1,100,260908.mp4,21290,21351,72279,72340,180266507737570,180783006421083,612000136813707,612516635497220
shorts - audio setup reference,A1,101,260908.mp4,21351,21502,72804,72955,180783006421083,182061552342566,616445412368532,617723958290015
shorts - audio setup reference,A1,102,260908.mp4,21502,21752,72977,73227,182061552342566,184178350225816,617910236503741,620027034386991
shorts - audio setup reference,A1,103,260908.mp4,21752,22002,73241,73491,184178350225816,186295148109066,620145575068453,622262372951703
shorts - audio setup reference,A1,104,260908.mp4,22002,22080,73515,73593,186295148109066,186955589048640,622465585548495,623126026488069
shorts - audio setup reference,A1,105,260908.mp4,22080,22193,73607,73720,186955589048640,187912381691869,623244567169531,624201359812760
shorts - audio setup reference,A1,106,260908.mp4,22193,22308,73739,73854,187912381691869,188886108718164,624362236451887,625335963478182
shorts - audio setup reference,A1,107,260908.mp4,22308,22383,73877,73952,188886108718164,189521148083139,625530708883441,626165748248416
shorts - audio setup reference,A1,108,260908.mp4,22383,22569,73973,74159,189521148083139,191096045708277,626343559270609,627918456895747
shorts - audio setup reference,A1,109,260908.mp4,22569,22611,74182,74224,191096045708277,191451667752663,628113202301006,628468824345392
shorts - audio setup reference,A1,110,260908.mp4,22611,22914,74292,74595,191451667752663,194017226787162,629044593369636,631610152404135
shorts - audio setup reference,A1,111,260908.mp4,22914,23255,74642,74983,194017226787162,196904539099915,632008110406186,634895422718939
shorts - audio setup reference,A1,112,260908.mp4,23255,23299,75011,75055,196904539099915,197277095527367,635132504081863,635505060509315
shorts - audio setup reference,A1,113,260908.mp4,23299,23431,75074,75206,197277095527367,198394764809723,635665937148442,636783606430798
shorts - audio setup reference,A1,114,260908.mp4,23431,23849,75227,75645,198394764809723,201934050870517,636961417452991,640500703513785
shorts - audio setup reference,A1,115,260908.mp4,23849,23918,75674,75743,201934050870517,202518287086294,640746252068242,641330488284019
shorts - audio setup reference,A1,116,260908.mp4,23918,23950,75775,75807,202518287086294,202789237215350,641601438413075,641872388542131
shorts - audio setup reference,A1,117,260908.mp4,23950,24380,75858,76288,202789237215350,206430129574540,642304215310314,645945107669504
shorts - audio setup reference,A1,118,260908.mp4,24380,24542,76318,76480,206430129574540,207801814602886,646199123415494,647570808443840
shorts - audio setup reference,A1,119,260908.mp4,24542,24606,76532,76596,207801814602886,208343714860998,648011102403556,648553002661668
shorts - audio setup reference,A1,120,260908.mp4,24606,24754,76646,76794,208343714860998,209596859207882,648976362238318,650229506585202
shorts - audio setup reference,A1,121,260908.mp4,24754,24903,76814,76963,209596859207882,210858470746299,650398850415862,651660461954279
shorts - audio setup reference,A1,122,260908.mp4,24903,25595,76995,77687,210858470746299,216717767287135,651931412083335,657790708624171
shorts - audio setup reference,A1,123,260908.mp4,25595,26040,77701,78146,216717767287135,220485667519320,657909249305633,661677149537818
shorts - audio setup reference,A1,124,260908.mp4,26040,26085,78160,78205,220485667519320,220866691138305,661795690219280,662176713838265
shorts - audio setup reference,A1,125,260908.mp4,26085,26236,78234,78385,220866691138305,222145237059788,662422262392722,663700808314205
shorts - audio setup reference,A1,126,260908.mp4,26236,26326,78402,78492,222145237059788,222907284297758,663844750570266,664606797808236
shorts - audio setup reference,A1,127,260908.mp4,26326,26478,78513,78665,222907284297758,224194297410774,664784608830429,666071621943445
shorts - audio setup reference,A1,128,260908.mp4,26478,26512,78666,78700,224194297410774,224482181922896,666080089134978,666367973647100
shorts - audio setup reference,A1,129,260908.mp4,26512,26669,78744,78901,224482181922896,225811530993577,666740530074552,668069879145233
shorts - audio setup reference,A1,130,260908.mp4,26669,26704,78927,78962,225811530993577,226107882697232,668290026125091,668586377828746
shorts - audio setup reference,A1,131,260908.mp4,26704,26736,78980,79012,226107882697232,226378832826288,668738787276340,669009737405396
shorts - audio setup reference,A1,132,260908.mp4,26736,26771,79045,79080,226378832826288,226675184529943,669289154725985,669585506429640
shorts - audio setup reference,A1,133,260908.mp4,26771,26851,81691,81771,226675184529943,227352559852583,691693343522303,692370718844943
shorts - audio setup reference,A1,134,260908.mp4,26851,27000,81921,82070,227352559852583,228614171391000,693640797574893,694902409113310
shorts - audio setup reference,A2,1,Transition Complex 14.wav,3657,3669,0,19,30964519436181,31066125734577,0,162732810240
shorts - audio setup reference,A2,2,Transition Complex 14.wav,7162,7174,0,19,60642025759346,60743632057742,0,162732810240
shorts - audio setup reference,A2,3,Transition Complex 14.wav,13887,13899,0,19,117583888818771,117685495117167,0,162732810240
shorts - audio setup reference,A2,4,Transition Complex 14.wav,17291,17303,0,19,146406208797103,146507815095499,0,162732810240
shorts - audio setup reference,A2,5,Transition Complex 14.wav,21348,21360,0,19,180757604846484,180859211144880,0,162732810240
shorts - audio setup reference,A3,1,Transition Complex 14.wav,446,458,0,19,3776367423718,3877973722114,0,162732810240
